case_id,campaign_group,fluid,topology,open_ratio,reynolds_number,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample,holdout_category,raw_data_location
DOE_Case_085,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_085
DOE_Case_086,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_086
DOE_Case_087,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_087
DOE_Case_088,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_088
DOE_Case_089,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_089
DOE_Case_090,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.9,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_090
DOE_Case_091,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_091
DOE_Case_092,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_092
DOE_Case_093,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_093
DOE_Case_094,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_094
DOE_Case_095,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_095
DOE_Case_096,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_096
DOE_Case_097,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_097
DOE_Case_098,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_098
DOE_Case_099,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,1.0,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_099
DOE_Case_100,Fluid_Sensitivity,PAO-4,Plate-Fin,0.0,50,700.0,2,1400.0,25.0,0.013235,4.942,False,HOLDOUT_FLUID_PAO-4,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_100
DOE_Case_101,Fluid_Sensitivity,PAO-4,Plate-Fin,0.0,250,700.0,2,1400.0,25.0,0.066177,24.709,False,HOLDOUT_FLUID_PAO-4,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_101
DOE_Case_102,Fluid_Sensitivity,PAO-4,Plate-Fin,0.0,750,700.0,2,1400.0,25.0,0.198532,74.128,False,HOLDOUT_FLUID_PAO-4,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_102
DOE_Case_103,Fluid_Sensitivity,PAO-4,Plate-Fin,0.1,50,700.0,2,1400.0,25.0,0.013235,4.942,False,HOLDOUT_FLUID_PAO-4,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_103
DOE_Case_104,Fluid_Sensitivity,PAO-4,Plate-Fin,0.1,250,700.0,2,1400.0,25.0,0.066177,24.709,False,HOLDOUT_FLUID_PAO-4,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_104
