case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample
DOE_Case_090,Baseline_OpenRatio_Reynolds,0.9,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_091,Baseline_OpenRatio_Reynolds,1.0,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_092,Baseline_OpenRatio_Reynolds,1.0,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_093,Baseline_OpenRatio_Reynolds,1.0,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_094,Baseline_OpenRatio_Reynolds,1.0,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_095,Baseline_OpenRatio_Reynolds,1.0,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_096,Baseline_OpenRatio_Reynolds,1.0,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_097,Baseline_OpenRatio_Reynolds,1.0,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_098,Baseline_OpenRatio_Reynolds,1.0,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_099,Baseline_OpenRatio_Reynolds,1.0,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_100,Fluid_Sensitivity,0.0,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_101,Fluid_Sensitivity,0.0,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_102,Fluid_Sensitivity,0.0,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_103,Fluid_Sensitivity,0.1,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_104,Fluid_Sensitivity,0.1,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_105,Fluid_Sensitivity,0.1,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_106,Fluid_Sensitivity,0.2,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_107,Fluid_Sensitivity,0.2,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_108,Fluid_Sensitivity,0.2,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_109,Fluid_Sensitivity,0.3,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_110,Fluid_Sensitivity,0.3,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_111,Fluid_Sensitivity,0.3,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_112,Fluid_Sensitivity,0.4,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_113,Fluid_Sensitivity,0.4,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_114,Fluid_Sensitivity,0.4,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_115,Fluid_Sensitivity,0.5,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_116,Fluid_Sensitivity,0.5,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_117,Fluid_Sensitivity,0.5,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_118,Fluid_Sensitivity,0.6,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_119,Fluid_Sensitivity,0.6,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_120,Fluid_Sensitivity,0.6,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_121,Fluid_Sensitivity,0.7,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_122,Fluid_Sensitivity,0.7,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_123,Fluid_Sensitivity,0.7,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_124,Fluid_Sensitivity,0.8,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_125,Fluid_Sensitivity,0.8,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_126,Fluid_Sensitivity,0.8,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_127,Fluid_Sensitivity,0.9,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_128,Fluid_Sensitivity,0.9,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_129,Fluid_Sensitivity,0.9,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_130,Fluid_Sensitivity,1.0,50,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.013235,4.942,False
DOE_Case_131,Fluid_Sensitivity,1.0,250,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.066177,24.709,False
DOE_Case_132,Fluid_Sensitivity,1.0,750,PAO-4,Plate-Fin,700.0,2,1400.0,25.0,0.198532,74.128,False
DOE_Case_133,Fluid_Sensitivity,0.0,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_134,Fluid_Sensitivity,0.0,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_135,Fluid_Sensitivity,0.0,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_136,Fluid_Sensitivity,0.1,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_137,Fluid_Sensitivity,0.1,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_138,Fluid_Sensitivity,0.1,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_139,Fluid_Sensitivity,0.2,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_140,Fluid_Sensitivity,0.2,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_141,Fluid_Sensitivity,0.2,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_142,Fluid_Sensitivity,0.3,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_143,Fluid_Sensitivity,0.3,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_144,Fluid_Sensitivity,0.3,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_145,Fluid_Sensitivity,0.4,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_146,Fluid_Sensitivity,0.4,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_147,Fluid_Sensitivity,0.4,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_148,Fluid_Sensitivity,0.5,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_149,Fluid_Sensitivity,0.5,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_150,Fluid_Sensitivity,0.5,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_151,Fluid_Sensitivity,0.6,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_152,Fluid_Sensitivity,0.6,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_153,Fluid_Sensitivity,0.6,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_154,Fluid_Sensitivity,0.7,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_155,Fluid_Sensitivity,0.7,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_156,Fluid_Sensitivity,0.7,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_157,Fluid_Sensitivity,0.8,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_158,Fluid_Sensitivity,0.8,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_159,Fluid_Sensitivity,0.8,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_160,Fluid_Sensitivity,0.9,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_161,Fluid_Sensitivity,0.9,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_162,Fluid_Sensitivity,0.9,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
DOE_Case_163,Fluid_Sensitivity,1.0,50,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.001087,0.406,False
DOE_Case_164,Fluid_Sensitivity,1.0,250,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.005433,2.029,False
DOE_Case_165,Fluid_Sensitivity,1.0,750,EFL-1,Plate-Fin,700.0,2,1400.0,25.0,0.016299,6.086,False
