case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_104,Fluid_Sensitivity,0.1,250,PAO-4,Plate-Fin,700.0,24.709,18.05,0.08016,82.56,4.89,10.28,0.002014,6194.3,COMPLETED_CONVERGED
DOE_Case_105,Fluid_Sensitivity,0.1,750,PAO-4,Plate-Fin,700.0,74.128,20.62,0.06148,68.52,30.793,15.37,0.038044,427.5,COMPLETED_CONVERGED
DOE_Case_106,Fluid_Sensitivity,0.2,50,PAO-4,Plate-Fin,700.0,4.942,24.37,0.12362,118.79,0.486,5.77,4e-05,80892.7,COMPLETED_CONVERGED
DOE_Case_107,Fluid_Sensitivity,0.2,250,PAO-4,Plate-Fin,700.0,24.709,30.77,0.08382,85.12,4.338,9.65,0.001786,6678.7,COMPLETED_CONVERGED
DOE_Case_108,Fluid_Sensitivity,0.2,750,PAO-4,Plate-Fin,700.0,74.128,35.15,0.06451,70.64,27.313,14.26,0.033744,459.4,COMPLETED_CONVERGED
DOE_Case_109,Fluid_Sensitivity,0.3,50,PAO-4,Plate-Fin,700.0,4.942,31.47,0.12634,120.69,0.435,5.61,3.6e-05,79154.2,COMPLETED_CONVERGED
DOE_Case_110,Fluid_Sensitivity,0.3,250,PAO-4,Plate-Fin,700.0,24.709,39.74,0.08698,87.33,3.878,9.16,0.001597,7198.9,COMPLETED_CONVERGED
DOE_Case_111,Fluid_Sensitivity,0.3,750,PAO-4,Plate-Fin,700.0,74.128,45.38,0.06722,72.54,24.42,13.37,0.03017,493.1,COMPLETED_CONVERGED
DOE_Case_112,Fluid_Sensitivity,0.4,50,PAO-4,Plate-Fin,700.0,4.942,36.47,0.1284,122.14,0.389,5.5,3.2e-05,77879.4,COMPLETED_CONVERGED
DOE_Case_113,Fluid_Sensitivity,0.4,250,PAO-4,Plate-Fin,700.0,24.709,46.06,0.08959,89.16,3.47,8.8,0.001429,7810.1,COMPLETED_CONVERGED
DOE_Case_114,Fluid_Sensitivity,0.4,750,PAO-4,Plate-Fin,700.0,74.128,52.6,0.0696,74.21,21.852,12.67,0.026998,532.2,COMPLETED_CONVERGED
DOE_Case_115,Fluid_Sensitivity,0.5,50,PAO-4,Plate-Fin,700.0,4.942,40.0,0.12995,123.22,0.347,5.42,2.9e-05,76954.5,COMPLETED_CONVERGED
DOE_Case_116,Fluid_Sensitivity,0.5,250,PAO-4,Plate-Fin,700.0,24.709,50.51,0.09168,90.63,3.097,8.52,0.001275,8551.8,COMPLETED_CONVERGED
DOE_Case_117,Fluid_Sensitivity,0.5,750,PAO-4,Plate-Fin,700.0,74.128,57.68,0.07161,75.61,19.502,12.14,0.024094,579.6,COMPLETED_CONVERGED
DOE_Case_118,Fluid_Sensitivity,0.6,50,PAO-4,Plate-Fin,700.0,4.942,42.48,0.13108,124.01,0.308,5.36,2.5e-05,76288.8,COMPLETED_CONVERGED
DOE_Case_119,Fluid_Sensitivity,0.6,250,PAO-4,Plate-Fin,700.0,24.709,53.65,0.0933,91.76,2.749,8.32,0.001132,9466.4,COMPLETED_CONVERGED
DOE_Case_120,Fluid_Sensitivity,0.6,750,PAO-4,Plate-Fin,700.0,74.128,61.27,0.07323,76.74,17.313,11.74,0.021389,638.5,COMPLETED_CONVERGED
DOE_Case_121,Fluid_Sensitivity,0.7,50,PAO-4,Plate-Fin,700.0,4.942,44.23,0.1319,124.59,0.271,5.32,2.2e-05,75812.4,COMPLETED_CONVERGED
DOE_Case_122,Fluid_Sensitivity,0.7,250,PAO-4,Plate-Fin,700.0,24.709,55.86,0.09452,92.62,2.421,8.17,0.000997,10609.2,COMPLETED_CONVERGED
DOE_Case_123,Fluid_Sensitivity,0.7,750,PAO-4,Plate-Fin,700.0,74.128,63.79,0.0745,77.63,15.247,11.44,0.018838,712.6,COMPLETED_CONVERGED
DOE_Case_124,Fluid_Sensitivity,0.8,50,PAO-4,Plate-Fin,700.0,4.942,45.47,0.1325,125.0,0.236,5.29,1.9e-05,75472.9,COMPLETED_CONVERGED
